Soln D Concentration,Soln A Concentration,Relative Humidity,White Noise (db),Soln B Concentration,Soln C Concentration,Tried,Percentage success
20.194,113.249,33.417,6.298,143.162,198.069,139,67.62589928
20.277,90.619,62.286,11.232,216.182,138.908,114,63.15789474
20.314,87.478,38.327,6.983,148.757,196.735,119,91.59663866
20.332,72.246,71.56,16.546,242.967,134.825,123,55.28455285
20.239,77.262,44.211,24.543,273.617,166.494,87,47.12643678
20.319,80.701,35.931,3.072,149.276,200.898,149,59.06040268
20.329,73.374,58.525,11.58,177.512,184.48,145,58.62068966
20.371,76.206,66.107,36.112,112.529,136.74,94,62.76595745
20.264,92.683,34.835,12.03,19.753,200.499,75,52
20.349,88.818,29.533,11.484,28.182,197.244,60,83.33333333
20.325,81.682,57.251,8.695,29.117,192.583,87,75.86206897
20.299,75.198,62.543,3.38,30.691,203.245,59,76.27118644
20.313,71.796,40.732,2.215,29.3,204.13,130,76.15384615
20.319,91.745,11.34,18.176,33.322,206.111,141,70.21276596
20.253,106.326,26.358,23.564,21.64,193.081,74,31.08108108
20.22,111.987,12.101,5.343,22.213,203.653,43,58.13953488
20.273,111.846,18.053,12.062,55.146,202.963,72,54.16666667
20.189,120.126,25.583,16.331,253.206,199.75,59,62.71186441
20.178,122.387,27.515,3.845,217.229,199.164,91,72.52747253
20.236,109.955,17.214,3.889,265.085,198.166,145,49.65517241
20.298,89.577,45.023,7.362,153.6,201.23,126,76.19047619
20.316,79.262,56.065,4.968,164.186,203.365,98,43.87755102
20.31,66.731,76.498,2.753,227.672,159.515,31,74.19354839
20.396,59.624,86.137,10.763,263.121,152.523,30,40
20.149,75.497,77.469,13.093,234.419,80.755,34,52.94117647
20.417,89.623,51.204,32.852,274.8,163.618,22,86.36363636
20.366,92.394,32.813,12.169,247.19,197.368,155,36.77419355
20.392,84.306,63.77,30.611,274.767,137.366,78,58.97435897
20.44,86.427,60.164,8.757,125.388,189.275,30,70
20.321,79.252,65.562,5.222,194.571,196.999,29,58.62068966
20.359,72.534,64.882,4.269,229.728,105.238,19,52.63157895
20.306,75.388,44.007,2.699,217.676,17.355,46,67.39130435
20.352,81.662,49.08,5.707,163.766,22.814,57,38.59649123
20.281,82.526,66.089,9.021,103.837,14.34,85,49.41176471
